Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-03-31,232.910004,239.100006,232.389999,235.770004,235.770004,43623500,0.01227942102478352
2021-04-01,238.470001,242.839996,238.050003,242.350006,242.350006,30338000,0.016270411304271398
2021-04-05,242.759995,249.960007,242.699997,249.070007,249.070007,36910600,0.025992800008090296
2021-04-06,247.610001,249.399994,246.880005,247.860001,247.860001,22931900,0.0010096522716786386
2021-04-07,247.809998,250.929993,247.190002,249.899994,249.899994,22719800,0.008433864722439427
2021-04-08,252.770004,254.139999,252.000000,253.250000,253.250000,23625200,0.0018989436737121698
2021-04-09,252.869995,255.990005,252.440002,255.850006,255.850006,24326800,0.011784755245477103
2021-04-12,254.710007,257.670013,254.619995,255.910004,255.910004,27148700,0.004711228326415916
2021-04-13,257.260010,259.190002,256.829987,258.489990,258.489990,23837500,0.004781077323288431
2021-04-14,257.480011,258.829987,255.160004,255.589996,255.589996,23070900,-0.0073404338948858325
2021-04-15,257.929993,259.929993,257.730011,259.500000,259.500000,25627500,0.006086950112854752
2021-04-16,259.470001,261.000000,257.600006,260.739990,260.739990,24878600,0.004894550410858296
